dpr_id,project_title,department,region,duration,estimated_cost,fund_allocation,contingency,start_date,end_date,num_employees,state,district,risk_zone,guidelines_followed,risk_label,recommendation_type,recommendation_description,recommendation_priority,contingency_ratio,duration_months,num_machinery,num_materials,compliance_score,missing_docs_count
DPR_0031,Infrastructure Development Project 582,Water Resources Department,Region 9,9 months,₹360 crore,₹193 crore,₹13 crore,26-09-2025,23-05-2029,79,Arunachal Pradesh,Imphal,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.036111111,9,5,3,1,0
DPR_0032,Infrastructure Development Project 958,Rural Development Department,Region 4,22 months,₹311 crore,₹261 crore,₹12 crore,26-04-2024,25-03-2029,93,Meghalaya,Itanagar,Flood,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.038585209,22,4,3,0,0
DPR_0033,Infrastructure Development Project 183,Road Construction Department,Region 2,31 months,₹184 crore,₹432 crore,₹8 crore,01-03-2024,05-03-2029,200,Arunachal Pradesh,Guwahati,None,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.043478261,31,5,2,1,2
DPR_0034,Infrastructure Development Project 431,Rural Development Department,Region 2,8 months,₹251 crore,₹326 crore,₹4 crore,01-06-2025,03-10-2029,177,Meghalaya,Agartala,Flood,TRUE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.015936255,8,3,3,1,0
DPR_0035,Infrastructure Development Project 453,Rural Development Department,Region 6,22 months,₹130 crore,₹342 crore,₹2 crore,11-10-2024,15-06-2029,122,Meghalaya,Kohima,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.015384615,22,3,5,0,0
DPR_0036,Infrastructure Development Project 216,Road Construction Department,Region 5,12 months,₹411 crore,₹318 crore,₹7 crore,25-12-2026,06-04-2027,158,Manipur,Kohima,Flood,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.01703163,12,5,3,0,0
DPR_0037,Infrastructure Development Project 816,Road Construction Department,Region 4,22 months,₹309 crore,₹438 crore,₹4 crore,12-09-2024,20-11-2027,123,Nagaland,Dispur,Connectivity,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.012944984,22,2,2,0,0
DPR_0038,Infrastructure Development Project 654,Rural Development Department,Region 9,28 months,₹370 crore,₹120 crore,₹10 crore,25-02-2024,05-04-2028,199,Sikkim,Aizawl,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.027027027,28,5,5,1,0
DPR_0039,Infrastructure Development Project 718,Water Resources Department,Region 2,23 months,₹412 crore,₹239 crore,₹20 crore,20-01-2024,20-11-2028,129,Nagaland,Guwahati,Landslide,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.048543689,23,2,4,1,0
DPR_0040,Infrastructure Development Project 946,Rural Development Department,Region 9,20 months,₹156 crore,₹383 crore,₹2 crore,18-08-2025,26-09-2027,42,Sikkim,Shillong,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.012820513,20,3,5,1,0
DPR_0041,Infrastructure Development Project 627,Public Works Department,Region 1,35 months,₹127 crore,₹170 crore,₹18 crore,27-11-2024,08-11-2027,101,Mizoram,Aizawl,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.141732283,35,2,2,1,1
DPR_0042,Infrastructure Development Project 235,Urban Development Department,Region 7,7 months,₹144 crore,₹232 crore,₹19 crore,16-08-2025,21-03-2029,164,Tripura,Aizawl,Flood,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.131944444,7,5,2,0,0
DPR_0043,Infrastructure Development Project 264,Public Works Department,Region 9,9 months,₹87 crore,₹350 crore,₹10 crore,08-09-2026,18-04-2028,145,Assam,Dispur,Flood,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.114942529,9,2,5,0,0
DPR_0044,Infrastructure Development Project 324,Road Construction Department,Region 7,36 months,₹447 crore,₹173 crore,₹17 crore,12-03-2026,22-07-2028,152,Meghalaya,Itanagar,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.03803132,36,4,3,1,0
DPR_0045,Infrastructure Development Project 530,Road Construction Department,Region 4,12 months,₹376 crore,₹350 crore,₹8 crore,21-01-2025,18-07-2027,190,Arunachal Pradesh,Kohima,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.021276596,12,3,3,0,0
DPR_0046,Infrastructure Development Project 378,Road Construction Department,Region 2,11 months,₹173 crore,₹84 crore,₹15 crore,05-04-2026,28-06-2028,185,Sikkim,Gangtok,Connectivity,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.086705202,11,5,4,0,0
DPR_0047,Infrastructure Development Project 653,Road Construction Department,Region 2,31 months,₹187 crore,₹335 crore,₹7 crore,23-10-2025,27-01-2027,37,Sikkim,Aizawl,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.037433155,31,5,2,0,0
DPR_0048,Infrastructure Development Project 240,Urban Development Department,Region 6,16 months,₹466 crore,₹263 crore,₹20 crore,02-06-2026,28-09-2029,86,Manipur,Guwahati,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.042918455,16,4,5,0,1
DPR_0049,Infrastructure Development Project 425,Water Resources Department,Region 6,9 months,₹85 crore,₹436 crore,₹20 crore,13-08-2026,06-03-2029,19,Meghalaya,Itanagar,Landslide,TRUE,Resource,Resource Planning,Add alternate supplier for raw material shortage,Medium,0.235294118,9,4,4,1,0
DPR_0050,Infrastructure Development Project 135,Road Construction Department,Region 1,27 months,₹373 crore,₹161 crore,₹5 crore,22-02-2025,22-03-2029,182,Mizoram,Agartala,Flood,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.013404826,27,3,5,1,0
DPR_0051,Infrastructure Development Project 466,Water Resources Department,Region 9,10 months,₹125 crore,₹106 crore,₹14 crore,06-11-2024,22-01-2029,155,Nagaland,Agartala,Flood,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.112,10,4,4,1,0
DPR_0052,Infrastructure Development Project 301,Water Resources Department,Region 9,36 months,₹113 crore,₹175 crore,₹15 crore,12-06-2024,14-04-2027,43,Manipur,Guwahati,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.132743363,36,4,3,0,0
DPR_0053,Infrastructure Development Project 218,Urban Development Department,Region 4,12 months,₹186 crore,₹214 crore,₹2 crore,17-09-2026,15-07-2029,55,Manipur,Dispur,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.010752688,12,5,4,1,0
DPR_0054,Infrastructure Development Project 684,Road Construction Department,Region 4,14 months,₹157 crore,₹217 crore,₹3 crore,05-10-2025,08-06-2027,36,Tripura,Gangtok,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.01910828,14,2,3,1,0
DPR_0055,Infrastructure Development Project 257,Urban Development Department,Region 9,15 months,₹377 crore,₹52 crore,₹10 crore,04-08-2025,16-03-2027,160,Tripura,Kohima,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.026525199,15,4,3,0,0
DPR_0056,Infrastructure Development Project 902,Public Works Department,Region 6,17 months,₹235 crore,₹230 crore,₹2 crore,01-01-2025,05-07-2027,167,Tripura,Agartala,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.008510638,17,3,3,1,0
DPR_0057,Infrastructure Development Project 630,Road Construction Department,Region 5,11 months,₹442 crore,₹143 crore,₹11 crore,24-07-2026,26-06-2029,161,Sikkim,Dispur,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.024886878,11,5,2,0,0
DPR_0058,Infrastructure Development Project 345,Water Resources Department,Region 8,12 months,₹180 crore,₹445 crore,₹16 crore,20-05-2024,12-12-2028,104,Tripura,Aizawl,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.088888889,12,4,2,1,0
DPR_0059,Infrastructure Development Project 613,Water Resources Department,Region 4,33 months,₹163 crore,₹66 crore,₹19 crore,16-05-2024,16-12-2028,86,Mizoram,Dispur,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.116564417,33,4,3,1,1
DPR_0060,Infrastructure Development Project 853,Urban Development Department,Region 3,10 months,₹477 crore,₹61 crore,₹3 crore,16-01-2025,05-03-2028,184,Arunachal Pradesh,Dispur,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.006289308,10,2,2,1,0
DPR_0061,Infrastructure Development Project 437,Road Construction Department,Region 2,6 months,₹335 crore,₹343 crore,₹18 crore,26-07-2026,28-02-2028,129,Manipur,Imphal,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.053731343,6,5,4,0,2
DPR_0062,Infrastructure Development Project 438,Urban Development Department,Region 1,15 months,₹107 crore,₹66 crore,₹17 crore,07-11-2025,28-04-2027,94,Meghalaya,Imphal,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.158878505,15,2,5,1,0
DPR_0063,Infrastructure Development Project 729,Road Construction Department,Region 5,14 months,₹315 crore,₹339 crore,₹4 crore,11-03-2026,22-05-2029,172,Sikkim,Kohima,Flood,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.012698413,14,5,5,1,0
DPR_0064,Infrastructure Development Project 536,Urban Development Department,Region 5,25 months,₹425 crore,₹324 crore,₹9 crore,08-12-2025,23-01-2027,114,Tripura,Agartala,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.021176471,25,4,3,0,0
DPR_0065,Infrastructure Development Project 942,Rural Development Department,Region 6,36 months,₹267 crore,₹240 crore,₹7 crore,20-12-2026,01-10-2029,117,Sikkim,Itanagar,Landslide,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.026217228,36,3,4,0,0
DPR_0066,Infrastructure Development Project 747,Water Resources Department,Region 6,34 months,₹232 crore,₹379 crore,₹2 crore,24-08-2026,12-09-2028,51,Nagaland,Aizawl,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.00862069,34,3,3,0,0
DPR_0067,Infrastructure Development Project 323,Public Works Department,Region 2,16 months,₹325 crore,₹432 crore,₹20 crore,09-09-2026,17-04-2028,104,Assam,Shillong,Flood,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.061538462,16,5,3,1,0
DPR_0068,Infrastructure Development Project 356,Water Resources Department,Region 3,21 months,₹444 crore,₹350 crore,₹16 crore,17-12-2025,12-01-2027,156,Nagaland,Aizawl,Connectivity,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.036036036,21,2,4,0,0
DPR_0069,Infrastructure Development Project 272,Public Works Department,Region 4,35 months,₹382 crore,₹81 crore,₹10 crore,23-03-2026,14-10-2028,45,Meghalaya,Shillong,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.02617801,35,3,3,0,0
DPR_0070,Infrastructure Development Project 359,Road Construction Department,Region 1,14 months,₹352 crore,₹166 crore,₹15 crore,17-12-2026,09-12-2028,118,Sikkim,Dispur,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.042613636,14,5,5,0,0
DPR_0071,Infrastructure Development Project 370,Rural Development Department,Region 10,6 months,₹182 crore,₹348 crore,₹13 crore,14-05-2025,20-07-2027,63,Arunachal Pradesh,Aizawl,Landslide,FALSE,Delay,Timeline Adjustment,Timeline too short — extend by 3 months,High,0.071428571,6,3,5,0,0
DPR_0072,Infrastructure Development Project 758,Urban Development Department,Region 8,10 months,₹490 crore,₹184 crore,₹19 crore,11-07-2025,06-10-2028,42,Nagaland,Imphal,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.03877551,10,2,3,0,0
DPR_0073,Infrastructure Development Project 733,Water Resources Department,Region 9,15 months,₹457 crore,₹346 crore,₹11 crore,04-02-2024,25-11-2027,37,Mizoram,Agartala,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.024070022,15,3,3,0,0
DPR_0074,Infrastructure Development Project 106,Urban Development Department,Region 1,14 months,₹79 crore,₹164 crore,₹7 crore,11-05-2024,16-11-2029,26,Assam,Shillong,Flood,FALSE,Resource,Resource Planning,Add alternate supplier for raw material shortage,Medium,0.088607595,14,2,2,0,0
DPR_0075,Infrastructure Development Project 952,Rural Development Department,Region 1,19 months,₹383 crore,₹127 crore,₹12 crore,18-08-2024,04-06-2027,31,Assam,Itanagar,Connectivity,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.031331593,19,3,2,1,0
DPR_0076,Infrastructure Development Project 635,Road Construction Department,Region 1,19 months,₹302 crore,₹363 crore,₹9 crore,18-02-2024,03-12-2027,55,Arunachal Pradesh,Imphal,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.029801325,19,2,2,0,2
DPR_0077,Infrastructure Development Project 609,Road Construction Department,Region 5,34 months,₹308 crore,₹404 crore,₹11 crore,17-07-2025,15-04-2028,180,Manipur,Kohima,None,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.035714286,34,5,3,1,0
DPR_0078,Infrastructure Development Project 540,Public Works Department,Region 8,8 months,₹260 crore,₹366 crore,₹19 crore,02-05-2026,24-05-2028,11,Mizoram,Shillong,Connectivity,TRUE,Resource,Resource Planning,Add alternate supplier for raw material shortage,Medium,0.073076923,8,4,2,1,0
DPR_0079,Infrastructure Development Project 674,Urban Development Department,Region 4,17 months,₹261 crore,₹229 crore,₹11 crore,20-09-2024,24-10-2028,37,Nagaland,Aizawl,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.042145594,17,2,2,0,0
DPR_0080,Infrastructure Development Project 631,Road Construction Department,Region 9,23 months,₹395 crore,₹440 crore,₹11 crore,28-08-2025,10-12-2028,95,Assam,Gangtok,Flood,FALSE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.027848101,23,2,4,0,0
DPR_0081,Infrastructure Development Project 666,Rural Development Department,Region 5,20 months,₹420 crore,₹413 crore,₹16 crore,21-06-2025,04-05-2027,121,Sikkim,Aizawl,Landslide,FALSE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.038095238,20,2,2,0,0
DPR_0082,Infrastructure Development Project 489,Public Works Department,Region 9,19 months,₹322 crore,₹450 crore,₹13 crore,10-02-2026,25-03-2029,58,Mizoram,Kohima,Flood,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.040372671,19,2,5,1,2
DPR_0083,Infrastructure Development Project 128,Urban Development Department,Region 4,31 months,₹438 crore,₹61 crore,₹8 crore,01-07-2024,09-09-2028,107,Nagaland,Aizawl,None,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.01826484,31,3,3,1,0
DPR_0084,Infrastructure Development Project 478,Road Construction Department,Region 2,36 months,₹90 crore,₹315 crore,₹18 crore,10-08-2025,22-12-2028,118,Manipur,Shillong,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.2,36,4,4,1,0
DPR_0085,Infrastructure Development Project 490,Rural Development Department,Region 2,25 months,₹466 crore,₹40 crore,₹2 crore,08-06-2026,11-11-2029,138,Meghalaya,Guwahati,Flood,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.004291845,25,2,5,0,1
DPR_0086,Infrastructure Development Project 699,Public Works Department,Region 7,9 months,₹249 crore,₹163 crore,₹6 crore,25-08-2024,03-01-2029,17,Nagaland,Guwahati,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.024096386,9,5,2,1,0
DPR_0087,Infrastructure Development Project 618,Road Construction Department,Region 1,8 months,₹474 crore,₹258 crore,₹4 crore,04-10-2026,27-09-2028,171,Meghalaya,Imphal,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.008438819,8,4,2,0,1
DPR_0088,Infrastructure Development Project 389,Road Construction Department,Region 4,22 months,₹105 crore,₹363 crore,₹10 crore,04-10-2026,15-08-2027,22,Manipur,Shillong,None,FALSE,Resource,Resource Planning,Add alternate supplier for raw material shortage,Medium,0.095238095,22,2,5,0,2
DPR_0089,Infrastructure Development Project 267,Water Resources Department,Region 4,20 months,₹358 crore,₹104 crore,₹9 crore,17-02-2026,24-07-2027,156,Tripura,Imphal,Landslide,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.025139665,20,2,3,1,0
DPR_0090,Infrastructure Development Project 408,Public Works Department,Region 2,22 months,₹201 crore,₹110 crore,₹4 crore,21-07-2026,28-06-2027,86,Nagaland,Agartala,Landslide,TRUE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.019900498,22,5,2,1,0
DPR_0091,Infrastructure Development Project 865,Urban Development Department,Region 1,19 months,₹176 crore,₹252 crore,₹17 crore,21-07-2026,22-07-2028,120,Sikkim,Imphal,Landslide,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.096590909,19,3,4,1,2
DPR_0092,Infrastructure Development Project 295,Water Resources Department,Region 1,35 months,₹56 crore,₹279 crore,₹4 crore,26-07-2024,17-07-2027,147,Arunachal Pradesh,Agartala,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to flood — require mitigation planning,High,0.071428571,35,3,5,1,2
DPR_0093,Infrastructure Development Project 998,Urban Development Department,Region 2,20 months,₹89 crore,₹81 crore,₹19 crore,02-09-2026,14-11-2027,71,Mizoram,Shillong,None,TRUE,None,General Improvement,Project appears well-structured with minimal risks,Low,0.213483146,20,5,2,1,1
DPR_0094,Infrastructure Development Project 476,Public Works Department,Region 9,32 months,₹212 crore,₹395 crore,₹11 crore,17-05-2026,27-08-2028,68,Mizoram,Agartala,Connectivity,TRUE,Environmental,Risk Mitigation,Area prone to landslide — require mitigation planning,High,0.051886792,32,5,3,1,0
DPR_0095,Infrastructure Development Project 699,Rural Development Department,Region 6,31 months,₹284 crore,₹252 crore,₹8 crore,18-05-2024,26-06-2027,106,Manipur,Aizawl,None,FALSE,Cost Overrun,Budget Rebalance,Increase contingency budget by 10%,High,0.028169014,31,5,5,0,0
